color,title_year,movie_title,movie_facebook_likes,duration,director_name,director_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,cast_total_facebook_likes,gross,genres,num_voted_users,num_critic_for_reviews,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,content_rating,budget,aspect_ratio,imdb_score
Color,1976,Rocky??,0,145,John G. Avildsen,80,Sylvester Stallone,13000,Burgess Meredith,1000,Carl Weathers,794,16094,117235247,Drama|Sport,375240,141,0,boxer|hometown hero|philadelphia pennsylvania|protective male|training,542,English,USA,PG,960000,1.33,8.1
Color,1976,Taxi Driver??,35000,110,Martin Scorsese,17000,Robert De Niro,22000,Albert Brooks,745,Peter Boyle,595,23525,,Crime|Drama,507063,211,1,loner|neo noir|night shift|taxi driver|vigilante,881,English,USA,R,1300000,1.85,8.3
 Black and White,1977,A Bridge Too Far??,0,175,Richard Attenborough,0,Ryan O'Neal,385,Dirk Bogarde,232,Wolfgang Preiss,14,669,50800000,Drama|History|War,40277,56,14,airborne troops|allies|operation market garden|panzer|paratrooper,210,English,USA,PG,26000000,2.35,7.4
Color,1977,Sorcerer??,0,92,William Friedkin,607,Roy Scheider,813,Joe Spinell,85,Amidou,35,1011,,Adventure|Drama|Thriller,9513,84,0,fire|jungle|money|oil drilling|truck,116,English,USA,PG,12000000,1.85,7.7
Color,1977,Close Encounters of the Third Kind??,0,135,Steven Spielberg,14000,Bob Balaban,559,Teri Garr,481,Melinda Dillon,252,1591,128300000,Drama|Sci-Fi,139288,171,0,alien|close encounter of the third kind|mothership|ufo|vision,339,English,USA,PG,19400870,2.35,7.7
Color,1977,Damnation Alley??,903,91,Jack Smight,22,George Peppard,669,Jan-Michael Vincent,642,Paul Winfield,255,1769,,Sci-Fi,3701,41,0,cockroach|desert|ghost town|giant spider|travel,71,English,USA,PG,17000000,2.35,5.2
Color,1977,The Spy Who Loved Me??,0,123,Lewis Gilbert,43,Caroline Munro,456,Desmond Llewelyn,244,Barbara Bach,238,1326,46800000,Action|Adventure|Sci-Fi|Thriller,76477,112,2,1970s|cult film|official james bond series|submarine|world war three,275,English,UK,PG,14000000,2.35,7.1
Color,1977,Exorcist II: The Heretic??,889,118,John Boorman,128,Linda Blair,931,Richard Burton,726,Ned Beatty,467,2704,,Horror,16294,82,7,demon|exorcism|locust|priest|repressed memory,252,English,USA,R,14000000,1.85,3.7
Color,1977,"New York, New York??",932,136,Martin Scorsese,17000,Robert De Niro,22000,Liza Minnelli,740,Mary Kay Place,213,23378,,Drama|Music|Musical|Romance,13548,59,0,love|musician|saxophonist|singer|songwriter,75,English,USA,PG,14000000,1.66,6.7
Color,1977,Star Wars: Episode IV - A New Hope??,33000,125,George Lucas,0,Harrison Ford,11000,Peter Cushing,1000,Kenny Baker,504,13485,460935665,Action|Adventure|Fantasy|Sci-Fi,911097,282,1,death star|empire|galactic war|princess|rebellion,1470,English,USA,PG,11000000,2.35,8.7
Color,1977,March or Die??,122,107,Dick Richards,6,Catherine Deneuve,963,Terence Hill,750,Jack O'Halloran,375,2209,1000000,Adventure|Drama|Romance|War,2215,6,1,arab|bare chested male|foreign legion|french foreign legion|morocco,26,English,UK,PG,9000000,1.85,6.3
Color,1977,Julia??,733,117,Fred Zinnemann,160,Meryl Streep,11000,Jane Fonda,949,Vanessa Redgrave,898,15604,,Drama,6454,38,2,1930s|female protagonist|nazi|romantic friendship|writer,44,English,USA,PG,7840000,1.85,7.4
Color,1977,Capricorn One??,2000,130,Peter Hyams,0,David Huddleston,1000,Sam Waterston,849,Hal Holbrook,826,5191,,Action|Sci-Fi|Thriller,15988,64,0,astronaut|hoax|journalist|mission|nasa,153,English,USA,PG,5000000,2.35,6.8
Color,1977,Annie Hall??,0,93,Woody Allen,11000,Woody Allen,11000,Carol Kane,636,Shelley Duvall,629,12691,39200000,Comedy|Romance,192940,154,0,breaking the fourth wall|comedian|jewish|neurosis|singer,491,English,USA,PG,4000000,1.37,8.1
Color,1977,High Anxiety??,0,94,Mel Brooks,0,Madeline Kahn,1000,Harvey Korman,628,Dick Van Patten,605,2861,,Comedy,15115,55,0,belldon's hysteria|high anxiety|hitchcockian|murder|parody,102,English,USA,PG,3400000,1.85,6.7
Color,1977,The Kentucky Fried Movie??,0,83,John Landis,644,David Zucker,119,Barry Dennen,29,Tara Strohmeier,11,190,,Comedy,13915,82,0,fake commercial|fake newscast|fake trailer|parody|spoof,109,English,USA,R,650000,1.85,6.5
Color,1977,Kingdom of the Spiders??,0,97,John 'Bud' Cardos,8,Woody Strode,423,Hoke Howell,23,Tiffany Bolling,22,516,17000000,Horror|Sci-Fi,3274,95,0,death|farm|hotel|spider|tarantula,84,English,USA,PG,500000,1.85,5.9
 Black and White,1977,Eraserhead??,0,89,David Lynch,0,Hal Landon Jr.,195,Jack Nance,158,Charlotte Stewart,121,837,,Fantasy|Horror|Sci-Fi,69831,152,1,apartment|baby|deformed baby|factory|surrealism,535,English,USA,Unrated,20000,1.37,7.4
Color,1978,Superman??,0,188,Richard Donner,503,Marlon Brando,10000,Margot Kidder,593,Ned Beatty,467,12940,134218018,Action|Adventure|Drama|Romance|Sci-Fi,126357,169,0,1970s|clark kent|planet|superhero|year 1978,497,English,USA,PG,55000000,2.35,7.3
Color,1978,The Wiz??,0,118,Sidney Lumet,0,Lena Horne,738,Diana Ross,295,Theresa Merritt,227,1458,13000000,Adventure|Family|Fantasy|Music|Musical,10895,32,0,melancholy|new york city|sadness|teacher|wizard,150,English,USA,G,24000000,1.85,5.2
Color,1978,Jaws 2??,0,131,Jeannot Szwarc,82,Roy Scheider,813,Murray Hamilton,366,Joseph Mascolo,85,1520,102922376,Adventure|Horror|Thriller,51314,75,0,great white shark|island|mayor|police chief|shark,265,English,USA,PG,20000000,2.35,5.7
Color,1978,Halloween??,12000,101,John Carpenter,0,Jamie Lee Curtis,2000,Donald Pleasence,742,P.J. Soles,598,4400,47000000,Horror|Thriller,157857,318,0,halloween|masked killer|michael myers|slasher|trick or treat,1191,English,USA,R,300000,2.35,7.9
Color,1978,Halloween??,12000,101,John Carpenter,0,Jamie Lee Curtis,2000,Donald Pleasence,742,P.J. Soles,598,4400,47000000,Horror|Thriller,157857,318,0,halloween|masked killer|michael myers|slasher|trick or treat,1191,English,USA,R,300000,2.35,7.9
Color,1978,The Deer Hunter??,11000,183,Michael Cimino,517,Robert De Niro,22000,Meryl Streep,11000,John Savage,652,34025,,Drama|War,232577,140,2,escape|friend|party|pittsburgh steelers|vietnam,1026,English,UK,R,15000000,2.35,8.2
Color,1978,Caravans??,76,127,James Fargo,109,Christopher Lee,16000,Joseph Cotten,469,Behrouz Vossoughi,324,17250,1000000,Action|Adventure|History,524,2,0,afghanistan|caravan|rebel|russian|tribe,8,English,Iran,PG,14000000,2.35,6.5
Color,1978,The Boys from Brazil??,0,125,Franklin J. Schaffner,76,Laurence Olivier,1000,Anne Meara,837,Steve Guttenberg,801,4659,,Drama|Thriller,20660,55,3,1970s|jew|nazi|nazi hunter|paraguay,123,English,UK,R,12000000,1.85,7
Color,1978,F.I.S.T.??,745,145,Norman Jewison,278,Sylvester Stallone,13000,Peter Boyle,595,Rod Steiger,279,14735,,Drama,5561,20,2,1930s|driving through a gate|funeral|senator|trade union,35,English,USA,PG,11000000,1.85,6.4
Color,1978,Alien Zone??,44,79,Sharron Miller,0,Bernard Fox,246,Elizabeth MacRae,29,Charles Aidman,23,345,,Horror,440,8,0,affair|child murderer|mortician|strangulation|supernatural power,21,English,USA,PG,350000,,4.1
Color,1978,Grease??,13000,110,Randal Kleiser,116,Olivia Newton-John,1000,Stockard Channing,944,Sid Caesar,898,5127,181360000,Musical|Romance,170027,124,2,automobile racing|boyfriend girlfriend relationship|high school|wrestling|year 1959,350,English,USA,PG-13,6000000,2.35,7.2
 Black and White,1978,Force 10 from Navarone??,729,126,Guy Hamilton,82,Harrison Ford,11000,Carl Weathers,794,Franco Nero,576,13591,,Action|Drama|War,13587,22,2,colonel|mission|partisan|spy|traitor,80,English,UK,PG,5000000,2.35,6.3
Color,1978,Animal House??,0,109,John Landis,644,John Belushi,1000,Karen Allen,783,Tim Matheson,559,3468,141600000,Comedy,90177,94,6,academic probation|camera shot of feet|fraternity|school expulsion|smashing a guitar,257,English,USA,R,3000000,1.85,7.6
Color,1978,Days of Heaven??,0,94,Terrence Malick,0,Sam Shepard,820,Stuart Margolin,350,Richard Libertini,180,1618,,Drama|Romance,37594,112,0,farm|farm worker|grasshopper|harvest|wealth,181,English,USA,PG,3000000,1.85,8
Color,1978,Halloween??,12000,101,John Carpenter,0,Jamie Lee Curtis,2000,Donald Pleasence,742,P.J. Soles,598,4400,47000000,Horror|Thriller,157863,318,0,halloween|masked killer|michael myers|slasher|trick or treat,1191,English,USA,R,300000,2.35,7.9
Color,1978,The Last Waltz??,0,117,Martin Scorsese,17000,Ringo Starr,725,Levon Helm,572,Bob Dylan,476,2783,321952,Documentary|Music,12611,71,0,band|final concert|guitar|interview|thanksgiving,113,English,USA,PG,,1.85,8.2
Color,1979,All That Jazz??,0,123,Bob Fosse,189,Roy Scheider,813,Ben Vereen,388,Max Wright,87,1476,,Comedy|Drama|Music|Musical,19228,84,0,dancer|editing|stand up comedian|surgery|vomiting,146,English,USA,R,,1.85,7.8
Color,1979,Star Trek: The Motion Picture??,0,143,Robert Wise,338,Leonard Nimoy,12000,Nichelle Nichols,664,Walter Koenig,643,16007,82300000,Adventure|Mystery|Sci-Fi,63330,134,2,alien|space|space station|spacecraft|warp speed,405,English,USA,PG,35000000,2.35,6.4
Color,1979,1941??,2000,142,Steven Spielberg,14000,Christopher Lee,16000,John Belushi,1000,Treat Williams,642,20201,,Action|Comedy|War,25193,56,5,california|captain|cult film|pearl harbor|submarine,217,English,USA,PG,35000000,2.35,5.9
Color,1979,Apocalypse Now??,19000,289,Francis Ford Coppola,0,Harrison Ford,11000,Marlon Brando,10000,Robert Duvall,3000,25313,78800000,Drama|War,450676,261,1,army|green beret|insanity|jungle|vietnam,983,English,USA,R,31500000,2.35,8.5
Color,1979,Moonraker??,0,126,Lewis Gilbert,43,Desmond Llewelyn,244,Lois Chiles,202,Lois Maxwell,177,1008,62700000,Action|Adventure|Sci-Fi|Thriller,69534,121,2,astronaut|dog|official james bond series|space shuttle|space shuttle transported on a 747,294,English,UK,PG,34000000,2.35,6.3
Color,1979,The Black Hole??,4000,98,Gary Nelson,20,Robert Forster,889,Maximilian Schell,877,Yvette Mimieux,160,2110,,Action|Sci-Fi,18481,90,0,black hole|escape|palomino|robot|scientist,230,English,USA,PG,20000000,2.35,5.9
Color,1979,Meteor??,392,108,Ronald Neame,38,Martin Landau,940,Karl Malden,416,Brian Keith,316,1945,,Action|Drama|Sci-Fi|Thriller,5237,42,7,asteroid|meteor|nasa|nuclear weapon|satellite,90,English,USA,PG,16000000,2.35,4.9
Color,1979,Prophecy??,902,102,John Frankenheimer,287,Talia Shire,452,Richard Dysart,122,Robert Foxworth,79,729,,Horror|Sci-Fi,3000,70,1,cabin|monster|monster movie|paper mill|pollution,75,English,USA,PG,12000000,2.35,5.4
Color,1979,Alien??,23000,116,Ridley Scott,0,Tom Skerritt,1000,Yaphet Kotto,581,Bolaji Badejo,513,2524,78900000,Horror|Sci-Fi,563827,392,0,alien|creature|future|outer space|spaceship,1110,English,UK,R,11000000,2.35,8.5
Color,1979,The Rose??,1000,125,Mark Rydell,43,David Keith,563,Frederic Forrest,236,Alan Bates,122,1097,29200000,Drama|Music|Romance,6142,32,0,awol|demand|driver|drugs|roses,52,English,USA,R,8500000,1.85,6.9
Color,1979,The Muppet Movie??,0,95,James Frawley,21,Madeline Kahn,1000,Jim Henson,985,Dom DeLuise,842,5673,76657000,Adventure|Comedy|Family|Musical,25498,63,0,friend|frog leg|on the road|restaurant|the muppets,92,English,UK,G,,1.85,7.7
Color,1979,Escape from Alcatraz??,0,112,Don Siegel,152,Clint Eastwood,16000,Patrick McGoohan,466,Fred Ward,459,17568,36500000,Biography|Crime|Drama,87090,53,0,alcatraz|escape|inmate|island|prison,142,English,USA,PG,8000000,1.85,7.6
 Black and White,1979,The Great Train Robbery??,643,110,Michael Crichton,735,Lesley-Anne Down,187,Michael Elphick,34,Pamela Salem,20,297,,Adventure|Crime|Drama|Thriller,11623,23,2,bank|gold|key|safe|train,50,English,UK,PG,6000000,1.85,7
Color,1979,The Black Stallion??,0,118,Carroll Ballard,19,Teri Garr,481,Kelly Reno,81,Hoyt Axton,48,681,,Adventure|Family|Sport,8856,33,0,black horse|boy horse relationship|horse|rescued by a horse|training,90,English,USA,G,2700000,1.85,7.4
Color,1979,Mad Max??,10000,93,George Miller,750,Hugh Keays-Byrne,728,Steve Bisley,76,Joanne Samuel,28,928,,Action|Adventure|Sci-Fi|Thriller,152232,208,0,biker|motorcycle|motorcycle gang|post apocalypse|woman wearing only a man's shirt,303,English,Australia,R,200000,2.35,7
Color,1979,Penitentiary??,157,99,Jamaa Fanaka,9,Leon Isaac Kennedy,116,Chuck Mitchell,24,Wilbur 'Hi-Fi' White,10,170,,Crime|Drama|Sport,509,23,2,blaxploitation|boxing|convict|drifter|false accusation,10,English,USA,R,100000,1.85,5.8
Color,1980,Superman II??,0,116,Richard Lester,44,Margot Kidder,593,Ned Beatty,467,Jackie Cooper,420,2908,108200000,Action|Adventure|Romance|Sci-Fi,76331,121,4,alien invasion|based on comic book|flying superhero|phantom zone|revenge,269,English,USA,PG,54000000,2.35,6.8
Color,1980,Heaven's Gate??,1000,325,Michael Cimino,517,Jeff Bridges,12000,Sam Waterston,849,Isabelle Huppert,678,14255,1500000,Adventure|Drama|Western,9830,102,0,1890s|hired gun|immigrant|johnson county war|sheriff,189,English,USA,R,44000000,2.35,6.8
Color,1980,Raise the Titanic??,328,119,Jerry Jameson,5,M. Emmet Walsh,521,Jason Robards,372,Anne Archer,249,1883,7000000,Action|Adventure|Drama|Thriller,2933,32,0,military|mineral|ocean|ship|titanic,70,English,UK,PG,36000000,2.35,4.7
Color,1980,Flash Gordon??,12000,111,Mike Hodges,24,Brian Blessed,591,William Hootkins,488,Sam J. Jones,455,2603,,Action|Adventure|Sci-Fi,38017,100,1,american football|cult film|emperor|flash gordon|mind reading,247,English,UK,PG,20000000,2.35,6.4
 Black and White,1980,Lion of the Desert??,0,156,Moustapha Akkad,278,Oliver Reed,695,Rod Steiger,279,John Gielgud,249,1573,,Biography|Drama|History|War,9852,24,0,arab|general|libya|muslim|mussolini,55,English,Libya,PG,35000000,2.35,8.4
Color,1980,The Blues Brothers??,14000,148,John Landis,644,John Belushi,1000,Aretha Franklin,809,Ray Charles,326,2566,54200000,Action|Comedy|Crime|Music,142448,125,1,band|catholic|money|parolee|prison,319,English,USA,R,27000000,1.85,7.9
Color,1980,Star Wars: Episode V - The Empire Strikes Back??,17000,127,Irvin Kershner,883,Harrison Ford,11000,Kenny Baker,504,Anthony Daniels,441,12643,290158751,Action|Adventure|Fantasy|Sci-Fi,837759,223,0,duel|famous twist|rebel|rescue|snowy landscape,900,English,USA,PG,18000000,2.35,8.8
Color,1980,Can't Stop the Music??,1000,124,Nancy Walker,42,Steve Guttenberg,801,Randy Jones,174,Caitlyn Jenner,161,1462,2000000,Biography|Comedy|Musical,2998,26,0,male frontal nudity|male full frontal nudity|male nudity|male rear nudity|new york city,74,English,USA,PG,20000000,2.35,4.5
Color,1980,The Shining??,37000,146,Stanley Kubrick,0,Scatman Crothers,888,Shelley Duvall,629,Joe Turkel,413,2560,,Drama|Horror,610333,253,0,breaking down a door|haunted hotel|identical twins|labyrinth|twin sisters,1320,English,USA,R,19000000,1.37,8.4
Color,1980,The Fog??,7000,89,John Carpenter,0,Jamie Lee Curtis,2000,Hal Holbrook,826,Janet Leigh,606,4877,21378000,Fantasy|Horror,46492,212,0,california|fog|leper|lighthouse|ship,335,English,USA,R,1000000,2.35,6.8
 Black and White,1980,Raging Bull??,0,121,Martin Scorsese,17000,Robert De Niro,22000,Cathy Moriarty,394,Frank Vincent,356,23008,45250,Biography|Drama|Sport,235133,151,1,boxing|domestic violence|hot temper|jealousy|rage,494,English,USA,R,18000000,1.85,8.3
Color,1980,Private Benjamin??,855,109,Howard Zieff,6,Eileen Brennan,1000,Albert Brooks,745,Alan Oppenheimer,271,2419,69800000,Comedy|War,18140,25,1,camera shot of feet|female stockinged feet|loss of husband|pantyhose|suntan pantyhose,60,English,USA,R,10000000,1.85,6.1
Color,1980,Coal Miner's Daughter??,0,124,Michael Apted,150,Sissy Spacek,874,Beverly D'Angelo,816,Levon Helm,572,2667,79900000,Biography|Drama|Music|Musical,12974,46,0,country music|kissing while having sex|poverty|singer|title based on song,84,English,USA,PG,,1.85,7.5
Color,1980,The Long Riders??,680,100,Walter Hill,394,Dennis Quaid,2000,David Carradine,926,Randy Quaid,695,6296,,Western,7322,52,0,bank|breasts|famous score|last man standing|revenge,78,English,USA,R,10000000,1.85,7.1
Color,1980,Dressed to Kill??,0,104,Brian De Palma,0,Angie Dickinson,754,David Margulies,567,Nancy Allen,517,2442,31899000,Mystery|Romance|Thriller,23986,121,0,apartment|elevator|murder|psychiatrist|sunglasses,201,English,USA,X,6500000,2.35,7.1
Color,1980,Ordinary People??,0,124,Robert Redford,0,Adam Baldwin,2000,Elizabeth McGovern,553,Judd Hirsch,535,5122,54800000,Drama,35130,62,3,choir|death|friend|suicide|therapy,283,English,USA,R,6000000,1.85,7.8
Color,1980,Caddyshack??,0,98,Harold Ramis,11000,Bill Murray,13000,Rodney Dangerfield,573,Brian Doyle-Murray,484,14921,39800000,Comedy|Sport,81599,71,3,caddy|country club|golf course|gopher|nudity,250,English,USA,R,6000000,1.85,7.4
Color,1980,Galaxina??,438,95,William Sachs,14,Stephen Macht,113,Avery Schreiber,110,Angelo Rossitto,60,396,,Comedy|Sci-Fi,1955,24,0,alien|android|fem bot|female android|stars,44,English,USA,R,,2.35,3.4
Color,1980,Somewhere in Time??,0,103,Jeannot Szwarc,82,Teresa Wright,208,Bill Erwin,191,George Voskovec,32,454,,Drama|Fantasy|Romance,21049,41,2,hotel|love|love across time|time travel|time travel romance,249,English,USA,PG,5100000,1.85,7.3
 Black and White,1980,The Elephant Man??,9000,124,David Lynch,0,Anthony Hopkins,12000,Anne Bancroft,754,Dexter Fletcher,452,13864,,Biography|Drama,161972,117,1,curiosity|exploitation|freak|hospital|physical deformity,356,English,USA,PG,5000000,2.35,8.2
Color,1980,Out of the Blue??,274,94,Dennis Hopper,0,Raymond Burr,311,Don Gordon,59,Jim Byrnes,51,498,,Drama,1599,24,1,explosion|hitchhiking|punk|trauma|truck driver,27,English,Canada,R,2200000,1.85,7.2
Color,1980,The Blue Lagoon??,0,104,Randal Kleiser,116,Brooke Shields,1000,Christopher Atkins,511,Leo McKern,83,1662,,Adventure|Drama|Romance,50125,36,0,coming of age|island|poison|teenage boy|teenage girl,140,English,USA,R,4500000,1.85,5.7
Color,1980,Airplane!??,16000,88,Jim Abrahams,104,Peter Graves,628,Lloyd Bridges,575,Barbara Billingsley,318,2726,83400000,Comedy,160281,134,0,air traffic controller|airplane|airport|pilot|spoof,427,English,USA,PG,3500000,1.85,7.8
Color,1980,The Fog??,7000,89,John Carpenter,0,Jamie Lee Curtis,2000,Hal Holbrook,826,Janet Leigh,606,4878,21378000,Fantasy|Horror,46493,212,0,california|fog|leper|lighthouse|ship,335,English,USA,R,1000000,2.35,6.8
Color,1981,Inchon??,115,140,Terence Young,92,Laurence Olivier,1000,Ben Gazzara,623,Jacqueline Bisset,522,2704,,Drama|History|War,491,10,1,1950s|douglas macarthur|general|inchon|invasion,16,English,South Korea,PG,48000000,2.35,2.7
Color,1981,Reds??,0,195,Warren Beatty,631,Paul Sorvino,635,Warren Beatty,631,M. Emmet Walsh,521,2291,,Biography|Drama|History|Romance,16255,57,0,cold war|cold war era|interview|russia|written and directed by cast member,127,English,USA,PG,35000000,1.85,7.5
Color,1981,For Your Eyes Only??,2000,127,John Glen,46,Julian Glover,844,Topol,402,Desmond Llewelyn,244,2118,62300000,Action|Adventure|Thriller,72085,112,1,agent|british|ice skater|ship|spy,263,English,UK,PG,28000000,2.35,6.8
Color,1981,Raiders of the Lost Ark??,16000,115,Steven Spielberg,14000,Harrison Ford,11000,Karen Allen,783,William Hootkins,488,12906,242374454,Action|Adventure,661017,234,1,archeological dig|archeologist|ark of the covenant|egypt|nazi,771,English,USA,PG,18000000,2.35,8.5
Color,1981,Under the Rainbow??,501,98,Steve Rash,15,Mako,691,Adam Arkin,374,Billy Barty,281,1761,8500000,Comedy,2061,13,0,assassin|hotel|japanese tourist|secret service|wizard of oz,34,English,USA,PG,20000000,1.78,5.4
Color,1981,The Legend of the Lone Ranger??,346,98,William A. Fraker,28,Jason Robards,372,Richard Farnsworth,262,Michael Horse,102,927,8000000,Action|Adventure|Western,1400,25,0,ambush|hero|masked hero|outlaw|texas ranger,41,English,USA,PG,18000000,2.35,5
Color,1981,Blow Out??,2000,107,Brian De Palma,0,Nancy Allen,517,Dennis Franz,376,John McMartin,101,1067,,Mystery|Thriller,27629,120,0,conspiracy|political conspiracy|recording|sound|truth,149,English,USA,R,18000000,2.35,7.4
Color,1981,Dragonslayer??,0,108,Matthew Robbins,25,Ian McDiarmid,1000,Ralph Richardson,115,Albert Salmi,94,1263,6000000,Action|Adventure|Fantasy,10832,60,0,apprentice|dragon|king|kingdom|wizard,102,English,USA,PG,18000000,2.35,6.7
Color,1981,Roar??,0,102,Noel Marshall,4,Tippi Hedren,634,Melanie Griffith,537,Zakes Mokae,60,1262,2000000,Adventure|Horror|Thriller,1275,50,0,chase|dead man|jungle|killing a lion|killing a tiger,27,English,USA,PG,17000000,2.35,6.4
Color,1981,Quest for Fire??,0,100,Jean-Jacques Annaud,218,Rae Dawn Chong,581,Everett McGill,201,Gary Schwartz,91,931,,Adventure|Drama|History,16281,62,0,fire|prehistoric times|primitive|tribe|trio,96,None,Canada,R,12500000,2.35,7.4
Color,1981,Time Bandits??,0,103,Terry Gilliam,0,Shelley Duvall,629,Michael Palin,561,Kenny Baker,504,2730,42365600,Adventure|Comedy|Fantasy|Sci-Fi,45890,139,0,cult director|dwarf|robin hood|satire|treasure,177,English,UK,PG,5000000,1.85,7
Color,1981,The Postman Always Rings Twice??,1000,122,Bob Rafelson,30,Anjelica Huston,1000,Michael Lerner,230,John Colicos,85,1456,,Crime|Drama|Romance|Thriller,16764,34,0,adultery|drifter|lunch wagon|murder|neo noir,48,English,USA,R,12000000,1.85,6.6
Color,1981,Das Boot??,11000,293,Wolfgang Petersen,249,J??rgen Prochnow,362,Martin Semmelrogge,21,Herbert Gr??nemeyer,18,469,11433134,Adventure|Drama|Thriller|War,168203,96,0,duty|submarine|submarine movie|tension|u boat,426,German,West Germany,R,14000000,1.85,8.4
Color,1981,The Pursuit of D.B. Cooper??,135,100,Roger Spottiswoode,55,Robert Duvall,3000,Treat Williams,642,Paul Gleason,212,4277,,Adventure|Crime|Thriller,763,2,0,escape|jumping from an airplane|money|parachute|ransom,10,English,USA,PG,12000000,1.85,5.7
Color,1981,History of the World: Part I??,0,92,Mel Brooks,0,Madeline Kahn,1000,Sid Caesar,898,Dom DeLuise,842,3931,,Comedy,36559,48,0,french revolution|old testament|part of an unfinished series|reference to john wayne|roman emperor,131,English,USA,R,11000000,2.35,6.9
Color,1981,Stripes??,0,117,Ivan Reitman,425,Bill Murray,13000,Harold Ramis,11000,Judge Reinhold,901,27378,85300000,Action|Comedy|War,48629,52,1,army|boot camp|breasts|graduation|rescue,134,English,USA,R,10000000,1.85,6.9
Color,1981,Heartbeeps??,425,78,Allan Arkush,13,Bernadette Peters,753,Randy Quaid,695,Christopher Guest,378,2791,,Comedy|Sci-Fi,1040,19,0,escape|fish out of water|love|robot|servant,31,English,USA,PG,10000000,2.35,4.2
Color,1981,Sphinx??,106,118,Franklin J. Schaffner,76,Frank Langella,902,William Hootkins,488,John Gielgud,249,2079,800000,Adventure|Mystery|Thriller,892,2,0,bat|curse|egyptologist|mummy|murder,21,English,USA,PG,14000000,2.35,5.2
Color,1981,Heavy Metal??,0,90,Gerald Potterton,0,John Vernon,187,Joe Flaherty,176,Don Francks,123,646,,Adventure|Animation|Fantasy|Horror|Sci-Fi,23516,62,0,anthology|girl|heavy metal|secretary|segments,147,English,Canada,R,9300000,1.37,6.7
Color,1981,Modern Problems??,495,93,Ken Shapiro,2,Brian Doyle-Murray,484,Dabney Coleman,345,Mary Kay Place,213,1455,,Comedy|Fantasy|Sci-Fi,3904,14,1,air traffic controller|nuclear waste|orgasm|telekinesis|voodoo,48,English,USA,PG,8000000,1.85,5
Color,1981,The Four Seasons??,337,107,Alan Alda,0,Rita Moreno,804,Len Cariou,167,Sandy Dennis,146,1285,,Comedy|Drama,3157,6,2,directed by star|friendship|reference to isaac newton|skinny dipping|written and directed by cast member,33,English,USA,PG,,1.85,7.2
Color,1981,Escape from New York??,0,106,John Carpenter,0,Donald Pleasence,742,Adrienne Barbeau,602,Tom Atkins,381,2270,25244700,Action|Sci-Fi,91017,201,1,1990s|police|prison|rescue|year 1997,284,English,UK,R,6000000,2.35,7.2
Color,1981,Chariots of Fire??,0,125,Hugh Hudson,46,Alice Krige,368,Ben Cross,303,John Gielgud,249,1651,58800000,Biography|Drama|Sport,40511,90,0,athlete|jew|missionary|olympic games|race,213,English,UK,PG,5500000,1.85,7.2
Color,1981,Mommie Dearest??,0,129,Frank Perry,24,Faye Dunaway,977,Xander Berkeley,485,Diana Scarwid,157,2014,,Biography|Drama,10564,74,1,abusive mother|adopted daughter|borderline personality disorder|perfection|sadistic cruelty,161,English,USA,R,5000000,1.85,6.7
Color,1981,Nighthawks??,0,99,Bruce Malmuth,6,Sylvester Stallone,13000,Lindsay Wagner,970,Persis Khambatta,142,14306,,Action|Crime|Thriller,12519,36,2,bomb|new york city|partner|shooting|terrorist,107,English,USA,R,5000000,1.85,6.4
Color,1981,Porky's??,0,94,Bob Clark,84,Art Hindle,110,Susan Clark,95,Tony Ganios,95,582,105500000,Comedy,31260,75,0,female full frontal nudity|revenge|school|sheriff|virginity,152,English,Canada,R,4000000,1.85,6.2
 Black and White,1981,Mad Max 2: The Road Warrior??,0,87,George Miller,750,Vernon Wells,745,Bruce Spence,531,Kjell Nilsson,41,1396,9003011,Action|Adventure|Sci-Fi|Thriller,133966,177,0,australian|gasoline|post apocalypse|refinery|warrior,294,English,Australia,R,2000000,2.35,7.6
Color,1981,Friday the 13th Part 2??,0,87,Steve Miner,49,Betsy Palmer,309,Adrienne King,121,Amy Steel,59,707,19100000,Horror|Mystery|Thriller,39690,242,0,ice pick|jason voorhees|lake|pitchfork|shack,394,English,USA,R,1250000,1.85,6.1
Color,1981,The Howling??,0,91,Joe Dante,287,Patrick Macnee,1000,Robert Picardo,823,Dee Wallace,725,4438,17986000,Horror,22773,161,0,1980s|forest|lycanthrope|shapeshifting|werewolf transformation,195,English,USA,R,1000000,1.85,6.6
Color,1981,History of the World: Part I??,0,92,Mel Brooks,0,Madeline Kahn,1000,Sid Caesar,898,Dom DeLuise,842,3931,,Comedy,36559,48,0,french revolution|old testament|part of an unfinished series|reference to john wayne|roman emperor,131,English,USA,R,11000000,2.35,6.9
 Black and White,1981,The Beyond??,2000,82,Lucio Fulci,385,Catriona MacColl,48,David Warbeck,22,Al Cliver,22,123,126387,Horror,14985,203,0,doctor|hell|hotel|painter|plumber,253,Italian,Italy,X,400000,2.35,6.9
Color,1981,The Evil Dead??,12000,96,Sam Raimi,0,Ted Raimi,634,Betsy Baker,66,Ellen Sandweiss,58,813,,Fantasy|Horror,141219,304,0,cult director|cult film|evil dead|necronomicon|psychotronic film,740,English,USA,NC-17,375000,1.37,7.6
